g;t;v;ci
ASXL1;Truncating;$9.67\%$;$[7.4\%,12.1\%]$
GNB1;Missense;$10.08\%$;$[3.2\%,17.5\%]$
IDH1;Missense;$10.67\%$;$[-1.6\%,22.0\%]$
KRAS;Missense;$8.22\%$;$[1.9\%,14.0\%]$
PPM1D;Truncating;$9.35\%$;$[6.4\%,12.3\%]$
PTPN11;Missense;$18.14\%$;$[11.9\%,24.8\%]$
SF3B1;Missense;$11.59\%$;$[6.7\%,15.7\%]$
SRSF2;Missense;$15.31\%$;$[9.4\%,21.3\%]$
TET2;Missense;$9.78\%$;$[7.8\%,11.6\%]$
BRCC3;Missense;$4.00\%$;$[-2.3\%,9.9\%]$
TET2;Truncating;$8.10\%$;$[6.9\%,9.3\%]$
TP53;Missense;$4.93\%$;$[1.3\%,8.7\%]$
TP53;Truncating;$-5.58\%$;$[-14.4\%,2.6\%]$
U2AF1;Missense;$19.32\%$;$[10.1\%,28.9\%]$
BRCC3;Truncating;$5.76\%$;$[-0.9\%,11.8\%]$
CBL;Missense;$4.35\%$;$[-1.6\%,9.1\%]$
CBL;Truncating;$14.29\%$;$[8.2\%,20.8\%]$
CTCF;Missense;$6.27\%$;$[-1.3\%,13.7\%]$
CTCF;Truncating;$8.39\%$;$[-0.5\%,17.1\%]$
DNMT3A;Missense;$3.77\%$;$[2.1\%,5.5\%]$
DNMT3A;Truncating;$5.16\%$;$[3.4\%,6.8\%]$
